production_current,production_planned,production_past,quantity_sold,total_income,revenue_sales,new_loan_issuance,subsidies,good_price_current,good_price_past,total_liabilities,labor_wage_bill,capital_costs,tax_payments,debt_principal_payments,debt_interest_payments,dividend_payments,total_assets,leverage_ratio,cash_on_hand,dividend_ratio,dividend_ratio_optimist,dividend_ratio_pessimist,employee_count,wage_offer,employee_count_desired,n_active_job_postings,need_worker,w_target,w_current,inventory,working_capital_inventory,desired_inventory_factor,inventory_factor,sentiment,bankrupt,is_cons_firm,average_profit,average_sale_quantity,short_term_funding_gap,long_term_funding_gap,expected_wage_bill,layoff_wage_savings,expected_wage_bill_shortfall,expected_long_term_shortfall,labor_utilization,desired_inventory,inventory_reaction_factor,machine_utilization,desired_machines
0,957,0,0,0,0,0,0,9.15663,0,0,0,0,0,0,0,0,894579,0,894579,0.045181,0.045181,0.0252844,47,53000,47,0,1,0,0,957,47,1.39458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,975,0,0,0,0,0,0,9.5181,0,0,0,0,0,0,0,0,939762,0,939762,0.0502952,0.0502952,0.0695837,48,54000,48,0,1,0,0,975,48,1.43976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,758,0,0,0,0,0,0,5.16319,0,0,0,0,0,0,0,0,395398,0,395398,0.0587538,0.0587538,0.0453426,37,55000,37,0,1,0,0,758,37,0.895399,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1001,0,0,0,0,0,0,10.0295,0,0,0,0,0,0,0,0,1.00369e+006,0,1.00369e+006,0.0452845,0.0452845,0.0448492,50,56000,50,0,1,0,0,1001,50,1.50369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1043,0,0,0,0,0,0,10.8754,0,0,0,0,0,0,0,0,1.10942e+006,0,1.10942e+006,0.0895837,0.0895837,0.0280058,52,57000,52,0,1,0,0,1043,52,1.60942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,976,0,0,0,0,0,0,9.52845,0,0,0,0,0,0,0,0,941055,0,941055,0.0653426,0.0653426,0.031745,48,58000,48,0,1,0,0,976,48,1.44106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,763,0,0,0,0,0,0,5.26894,0,0,0,0,0,0,0,0,408617,0,408617,0.0648492,0.0648492,0.0366039,38,59000,38,0,1,0,0,763,38,0.908617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1197,0,0,0,0,0,0,13.9584,0,0,0,0,0,0,0,0,1.4948e+006,0,1.4948e+006,0.0480058,0.0480058,0.0487727,59,60000,59,0,1,0,0,1197,59,1.9948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1076,0,0,0,0,0,0,11.5343,0,0,0,0,0,0,0,0,1.19178e+006,0,1.19178e+006,0.051745,0.051745,0.0480262,53,61000,53,0,1,0,0,1076,53,1.69178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1074,0,0,0,0,0,0,11.4849,0,0,0,0,0,0,0,0,1.18561e+006,0,1.18561e+006,0.0566039,0.0566039,0.0488909,53,62000,53,0,1,0,0,1074,53,1.68561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,990,0,0,0,0,0,0,9.80058,0,0,0,0,0,0,0,0,975072,0,975072,0.0687727,0.0687727,0.0148359,49,63000,49,0,1,0,0,990,49,1.47507,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1008,0,0,0,0,0,0,10.1745,0,0,0,0,0,0,0,0,1.02181e+006,0,1.02181e+006,0.0680262,0.0680262,0.00911043,50,64000,50,0,1,0,0,1008,50,1.52181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1033,0,0,0,0,0,0,10.6604,0,0,0,0,0,0,0,0,1.08255e+006,0,1.08255e+006,0.0688909,0.0688909,0.0338995,51,65000,51,0,1,0,0,1033,51,1.58255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1093,0,0,0,0,0,0,11.8773,0,0,0,0,0,0,0,0,1.23466e+006,0,1.23466e+006,0.0348359,0.0348359,0.0523782,54,66000,54,0,1,0,0,1093,54,1.73466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1090,0,0,0,0,0,0,11.8026,0,0,0,0,0,0,0,0,1.22533e+006,0,1.22533e+006,0.0291104,0.0291104,0.0358933,54,67000,54,0,1,0,0,1090,54,1.72533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1094,0,0,0,0,0,0,11.8891,0,0,0,0,0,0,0,0,1.23614e+006,0,1.23614e+006,0.0538995,0.0538995,0.052889,54,68000,54,0,1,0,0,1094,54,1.73614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,924,0,0,0,0,0,0,8.48359,0,0,0,0,0,0,0,0,810449,0,810449,0.0062314,0.0062314,0.0241074,46,69000,46,0,1,0,0,924,46,1.31045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,895,0,0,0,0,0,0,7.91104,0,0,0,0,0,0,0,0,738880,0,738880,0.0723782,0.0723782,0.0183906,44,70000,44,0,1,0,0,895,44,1.23888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1019,0,0,0,0,0,0,10.39,0,0,0,0,0,0,0,0,1.04874e+006,0,1.04874e+006,0.0558933,0.0558933,0.0761793,50,71000,50,0,1,0,0,1019,50,1.54874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,781,0,0,0,0,0,0,5.62314,0,0,0,0,0,0,0,0,452892,0,452892,0.072889,0.072889,0.0130024,39,72000,39,0,1,0,0,781,39,0.952892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1111,0,0,0,0,0,0,12.2378,0,0,0,0,0,0,0,0,1.27973e+006,0,1.27973e+006,0.0441074,0.0441074,0.018756,55,73000,55,0,1,0,0,1111,55,1.77973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1029,0,0,0,0,0,0,10.5893,0,0,0,0,0,0,0,0,1.07366e+006,0,1.07366e+006,0.0383906,0.0383906,0.0347705,51,74000,51,0,1,0,0,1029,51,1.57367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1114,0,0,0,0,0,0,12.2889,0,0,0,0,0,0,0,0,1.28611e+006,0,1.28611e+006,0.0183462,0.0183462,0.00694621,55,75000,55,0,1,0,0,1114,55,1.78611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,970,0,0,0,0,0,0,9.41074,0,0,0,0,0,0,0,0,926342,0,926342,0.0102843,0.0102843,0.0271169,48,76000,48,0,1,0,0,970,48,1.42634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,941,0,0,0,0,0,0,8.83906,0,0,0,0,0,0,0,0,854882,0,854882,0.0961793,0.0961793,0.0953475,47,77000,47,0,1,0,0,941,47,1.35488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,841,0,0,0,0,0,0,6.83462,0,0,0,0,0,0,0,0,604327,0,604327,0.0330024,0.0330024,0.0492821,42,78000,42,0,1,0,0,841,42,1.10433,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,801,0,0,0,0,0,0,6.02843,0,0,0,0,0,0,0,0,503554,0,503554,0.038756,0.038756,0.0326936,40,79000,40,0,1,0,0,801,40,1.00355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1230,0,0,0,0,0,0,14.6179,0,0,0,0,0,0,0,0,1.57724e+006,0,1.57724e+006,0.0547705,0.0547705,0.0511606,61,80000,61,0,1,0,0,1230,61,2.07724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,915,0,0,0,0,0,0,8.30024,0,0,0,0,0,0,0,0,787529,0,787529,0.0269462,0.0269462,0.0377239,45,81000,45,0,1,0,0,915,45,1.28753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,943,0,0,0,0,0,0,8.8756,0,0,0,0,0,0,0,0,859450,0,859450,0.0471169,0.0471169,0.0212146,47,82000,47,0,1,0,0,943,47,1.35945,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1023,0,0,0,0,0,0,10.477,0,0,0,0,0,0,0,0,1.05963e+006,0,1.05963e+006,0.115348,0.115348,0.0195941,51,83000,51,0,1,0,0,1023,51,1.55963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,884,0,0,0,0,0,0,7.69462,0,0,0,0,0,0,0,0,711827,0,711827,0.0692821,0.0692821,0.0163022,44,84000,44,0,1,0,0,884,44,1.21183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,985,0,0,0,0,0,0,9.71169,0,0,0,0,0,0,0,0,963961,0,963961,0.0526936,0.0526936,0.037958,49,85000,49,0,1,0,0,985,49,1.46396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1326,0,0,0,0,0,0,16.5348,0,0,0,0,0,0,0,0,1.81684e+006,0,1.81684e+006,0.0711606,0.0711606,0.024956,66,86000,66,0,1,0,0,1326,66,2.31684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1096,0,0,0,0,0,0,11.9282,0,0,0,0,0,0,0,0,1.24103e+006,0,1.24103e+006,0.0577239,0.0577239,0.0208476,54,87000,54,0,1,0,0,1096,54,1.74103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1013,0,0,0,0,0,0,10.2694,0,0,0,0,0,0,0,0,1.03367e+006,0,1.03367e+006,0.0412146,0.0412146,0.0189871,50,88000,50,0,1,0,0,1013,50,1.53367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1105,0,0,0,0,0,0,12.1161,0,0,0,0,0,0,0,0,1.26451e+006,0,1.26451e+006,0.0395941,0.0395941,0.0107397,55,89000,55,0,1,0,0,1105,55,1.76451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1038,0,0,0,0,0,0,10.7724,0,0,0,0,0,0,0,0,1.09655e+006,0,1.09655e+006,0.0363022,0.0363022,0.036282,51,90000,51,0,1,0,0,1038,51,1.59655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,956,0,0,0,0,0,0,9.12146,0,0,0,0,0,0,0,0,890182,0,890182,0.057958,0.057958,0.0459878,47,91000,47,0,1,0,0,956,47,1.39018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,947,0,0,0,0,0,0,8.95941,0,0,0,0,0,0,0,0,869926,0,869926,0.044956,0.044956,0.0389941,47,92000,47,0,1,0,0,947,47,1.36993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,931,0,0,0,0,0,0,8.63022,0,0,0,0,0,0,0,0,828777,0,828777,0.0408476,0.0408476,0.0126579,46,93000,46,0,1,0,0,931,46,1.32878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1039,0,0,0,0,0,0,10.7958,0,0,0,0,0,0,0,0,1.09948e+006,0,1.09948e+006,0.0389871,0.0389871,0.00634749,51,94000,51,0,1,0,0,1039,51,1.59948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,974,0,0,0,0,0,0,9.4956,0,0,0,0,0,0,0,0,936949,0,936949,0.0307397,0.0307397,0.0299826,48,95000,48,0,1,0,0,974,48,1.43695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,954,0,0,0,0,0,0,9.08476,0,0,0,0,0,0,0,0,885595,0,885595,0.056282,0.056282,0.0525666,47,96000,47,0,1,0,0,954,47,1.3856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,944,0,0,0,0,0,0,8.89872,0,0,0,0,0,0,0,0,862339,0,862339,0.0659878,0.0659878,0.0356934,47,97000,47,0,1,0,0,944,47,1.36234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,903,0,0,0,0,0,0,8.07397,0,0,0,0,0,0,0,0,759246,0,759246,0.0589941,0.0589941,0.0406895,45,98000,45,0,1,0,0,903,45,1.25925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
